tract,population,native white,foreign white 1,foreign white 2,white,black,people of color,people per household,median income per household,mean income per household,income per capita,geometry
1,23016,9118,9732,3518,22368,638,648,,,,,
2,20856,7142,9058,4530,20730,119,126,,,,,
3,21324,8989,8988,3235,21212,107,112,,,,,
4,38078,7203,14067,15189,36459,1602,1619,,,,,
5,26096,6717,6252,7945,20914,5149,5182,,,,,
6,20044,5351,3639,4538,13528,6310,6516,,,,,
7,20418,7991,6584,4022,18597,1809,1821,,,,,
8,25749,6996,9723,8636,25355,381,394,,,,,
9,24477,8138,9808,6530,24476,1,1,,,,,
10,21432,7074,9990,4278,21342,83,90,,,,,
11,24545,8715,11211,4313,24239,301,306,,,,,
12,25396,10267,10079,3982,24328,1063,1068,,,,,
13,29360,12886,12138,4231,29255,105,105,,,,,
14,24613,9248,11444,3847,24539,72,74,,,,,
15,20095,8717,7537,3120,19374,713,721,,,,,
16,20868,7772,5995,2900,16667,4182,4201,,,,,
17,24610,10353,4523,2830,17706,6851,6904,,,,,
18,21422,8011,9820,3337,21168,254,254,,,,,
19,21627,7971,7118,3205,18294,3319,3333,,,,,
20,22662,10218,8319,3266,21803,844,859,,,,,
21,22909,9874,9833,2829,22536,365,373,,,,,
22,22267,8713,7686,2746,19145,3108,3122,,,,,
23,23227,10732,6666,2947,20345,2852,2882,,,,,
24,33170,14926,11125,6461,32512,652,658,,,,,
25,25993,13973,8154,3212,25339,636,654,,,,,
26,22887,10727,7923,2694,21344,1522,1543,,,,,
27,33867,16663,12312,4574,33549,305,318,,,,,
28,26021,15351,7227,2791,25369,617,652,,,,,
