tract,population,native white,foreign white,white,black,people of color,people per household,median income per household,mean income per household,income per capita,geometry
1,24931,21455,2945,24400,520,531,,,,,
2,20435,10985,3268,14253,175,6182,,,,,
3,20297,17946,2105,20051,245,246,,,,,
4,28270,15909,8604,24513,3741,3757,,,,,
5,19294,9848,4719,14567,4708,4727,,,,,
6,16502,6348,2342,8690,7665,7812,,,,,
7,17216,13139,2326,15465,1742,1751,,,,,
8,20652,14622,5577,20199,451,453,,,,,
9,21615,16551,5026,21577,38,38,,,,,
10,20416,17232,3162,20394,22,22,,,,,
11,28870,25026,3704,28730,139,140,,,,,
12,30931,26259,3883,30142,788,789,,,,,
13,48252,43281,4888,48169,82,83,,,,,
14,27568,24276,3230,27506,61,62,,,,,
15,22669,18863,2589,21452,1211,1217,,,,,
16,21596,10799,1370,12169,9412,9427,,,,,
17,25561,10393,1731,12124,13398,13437,,,,,
18,20889,17897,2490,20387,501,502,,,,,
19,23953,13313,5119,18432,5513,5521,,,,,
20,24443,19785,2733,22518,1898,1925,,,,,
21,30900,27947,2686,30633,263,267,,,,,
22,26152,17907,2698,20605,5542,5547,,,,,
23,28647,21066,2586,23652,4977,4995,,,,,
24,47191,39536,7045,46581,600,610,,,,,
25,32935,27251,3554,30805,2097,2130,,,,,
26,27027,21309,2727,24036,2982,2991,,,,,
27,50040,43705,6034,49739,289,301,,,,,
28,45645,40728,4098,44826,794,819,,,,,
