boundaries,geometry
0,"POLYGON ((-90.31964320845238 38.59229589816406, -90.31928548623907 38.59229589816406, -90.31928548623907 38.59143950282585, -90.31964320845238 38.59229589816406))"
1,"POLYGON ((-90.32032314215149 38.59350123536677, -90.31928548623907 38.59350123536677, -90.31928548623907 38.59229589816406, -90.31964320845238 38.59229589816406, -90.31970523085019 38.5924443812338, -90.32016851525175 38.59301345397758, -90.32032314215149 38.59350123536677))"
2,"POLYGON ((-90.3202423216717 38.59470657256947, -90.31928548623907 38.59470657256947, -90.31928548623907 38.59350123536677, -90.32032314215149 38.59350123536677, -90.32049720355049 38.59405032424549, -90.3202423216717 38.59470657256947))"
3,"POLYGON ((-90.31977417783106 38.59591190977218, -90.31928548623907 38.59591190977218, -90.31928548623907 38.59470657256947, -90.3202423216717 38.59470657256947, -90.31977417783106 38.59591190977218))"
4,"POLYGON ((-90.31930603399044 38.59711724697488, -90.31928548623907 38.59711724697488, -90.31928548623907 38.59591190977218, -90.31977417783106 38.59591190977218, -90.31930603399044 38.59711724697488))"
5,"POLYGON ((-90.31928548623907 38.59717015158883, -90.31928548623907 38.59711724697488, -90.31930603399044 38.59711724697488, -90.31928548623907 38.59717015158883))"
6,"POLYGON ((-90.31856349363457 38.58988522375865, -90.31807376892766 38.58988522375865, -90.31807376892766 38.58884691758278, -90.31856349363457 38.58988522375865))"
7,"POLYGON ((-90.31913199974775 38.59109056096136, -90.31807376892766 38.59109056096136, -90.31807376892766 38.58988522375865, -90.31856349363457 38.58988522375865, -90.31913199974775 38.59109056096136))"
8,"POLYGON ((-90.31928548623907 38.59143950282585, -90.31928548623907 38.59229589816406, -90.31807376892766 38.59229589816406, -90.31807376892766 38.59109056096136, -90.31913199974775 38.59109056096136, -90.31919958805516 38.59123386056623, -90.31928548623907 38.59143950282585))"
9,"POLYGON ((-90.31928548623907 38.59229589816406, -90.31928548623907 38.59350123536677, -90.31807376892766 38.59350123536677, -90.31807376892766 38.59229589816406, -90.31928548623907 38.59229589816406))"
10,"POLYGON ((-90.31928548623907 38.59350123536677, -90.31928548623907 38.59470657256947, -90.31807376892766 38.59470657256947, -90.31807376892766 38.59350123536677, -90.31928548623907 38.59350123536677))"
11,"POLYGON ((-90.31928548623907 38.59470657256947, -90.31928548623907 38.59591190977218, -90.31807376892766 38.59591190977218, -90.31807376892766 38.59470657256947, -90.31928548623907 38.59470657256947))"
