tract,population,white,black,people of color,people per household,median income per household,mean income per household,income per capita,geometry
Academy,5169,22,5129,5147,,,,7359,"POLYGON ((-90.26152908374775 38.66306751203502, -90.26159320460474 38.66292120361954, -90.26350898021852 38.65158438301676, -90.26362051596652 38.65157156536831, -90.2706624478145 38.65229317636759, -90.27214582248226 38.65244435422322, -90.27261429756719 38.65250636227982, -90.27290155948204 38.65255706062552, -90.27326080099257 38.65264631309034, -90.27336866448594 38.65267647999042, -90.27222736100603 38.65957091542129, -90.2720557298869 38.66078451908634, -90.27201004950319 38.66092103891454, -90.27197938941111 38.66101455964696, -90.27196032459248 38.6610518393513, -90.27192485970221 38.66109227232814, -90.26770622536912 38.66577007768237, -90.26568451357164 38.66468484541998, -90.26489482619382 38.66430498503735, -90.26152908374775 38.66306751203502))"
Baden,7156,2983,4123,4173,,,,9869,"POLYGON ((-90.22182714154634 38.72990158863277, -90.2209662783265 38.72914900799838, -90.22156718955016 38.72876854473423, -90.22222645404605 38.72832618774334, -90.22274878300908 38.72794896394581, -90.22290060919705 38.72766581252056, -90.22298985564149 38.72755709523182, -90.22320291194617 38.72737568575626, -90.22399244685477 38.72686064170338, -90.22417813264678 38.72673111772958, -90.22438794271446 38.72656296097211, -90.22464093495104 38.72633153078021, -90.22494360546686 38.72601531449715, -90.22518077734468 38.72572184405706, -90.22542197291344 38.72535652304297, -90.22548050500551 38.72525734222372, -90.22567834053301 38.72477203395462, -90.22579640496966 38.72430229956817, -90.22595926347704 38.72342899894587, -90.22715259120183 38.71642656400608, -90.22782692294341 38.7124525142002, -90.22791103441439 38.71199027623595, -90.22798994677382 38.71143851036553, -90.22799357115562 38.7109444799042, -90.22792288997911 38.71040658955534, -90.2277979602577 38.71000721239856, -90.22766226314846 38.70967511156378, -90.22725201272866 38.70895882568722, -90.22701062272091 38.70861823981355, -90.22672572441085 38.70828301605712, -90.22616313473583 38.70762702663433, -90.22491061523966 38.70617467248873, -90.2225002103503 38.70344890475018, -90.2260488157479 38.7014749903415, -90.22665691884825 38.70120825020179, -90.22838272359553 38.70028185560763, -90.2293502064946 38.70250030306821, -90.22981171747666 38.70355856344711, -90.22989219813012 38.7038223542908, -90.23003058996889 38.70444414987877, -90.23009525636553 38.70487886277213, -90.23011354060699 38.70514204302972, -90.23013168562244 38.70536771417952, -90.23037084328068 38.7056039450794, -90.2306859582088 38.70591039793678, -90.23100518548043 38.70620494225867, -90.23119002630928 38.70636762157239, -90.2314051367886 38.70655140358971, -90.23164678391151 38.70675194107973, -90.23190822845888 38.70696284797707, -90.23218339719926 38.7071776574134, -90.23274692358238 38.70759588159819, -90.23302480295706 38.70778988144158, -90.23358708831184 38.70815795889622, -90.23417654520097 38.70851489220397, -90.23446008490338 38.70867757096497, -90.2347258851088 38.70882348636876, -90.23527975522836 38.70910229537623, -90.23561064129059 38.70925659373972, -90.23640285175274 38.70960439092192, -90.23685512333596 38.70979166279, -90.23731266820523 38.70997507305898, -90.23773930086325 38.71014053651491, -90.23810768697003 38.71027799726827, -90.23869016708794 38.7104829624806, -90.23940423477248 38.71072023510778, -90.24023614787556 38.71100128745361, -90.24116605149143 38.71131272806667, -90.24207674436522 38.71161818779994, -90.24246413432611 38.71174785096899, -90.24316712574641 38.71198279711847, -90.24400841596284 38.71226656161987, -90.24180699999654 38.71450054754757, -90.24166589570775 38.71467665866697, -90.24155385172408 38.71488990322491, -90.24145163711761 38.71529310189987, -90.24059078133752 38.720153486907, -90.24021467956956 38.72214160027272, -90.2401337860434 38.72214029469558, -90.24001164059247 38.72215740454575, -90.23995636895154 38.72217559662207, -90.2398820465956 38.72220838181087, -90.23980122769009 38.72226380597382, -90.23973701806449 38.722330250559, -90.23968911082815 38.72241501894084, -90.23967311777074 38.72247563973736, -90.23967125051317 38.72258453702788, -90.23969491562221 38.72266034843972, -90.23970274486629 38.72267615465788, -90.23975737881248 38.72275659315266, -90.2397742438373 38.7227744788848, -90.23983337305253 38.72282356944392, -90.23987649423104 38.72285043768054, -90.23995466946354 38.72288630796952, -90.2400348924439 38.72290845337933, -90.23984259075367 38.72349083778971, -90.23419571238094 38.72569081727369, -90.23135186282519 38.7267398861584, -90.22844871953058 38.72800311817863, -90.22833927491544 38.72805091670133, -90.2243436908729 38.72910281653956, -90.22195655093384 38.73005887795967, -90.22194990907808 38.73003598905197, -90.22192524827159 38.72999518166185, -90.22188303913141 38.72995070797173, -90.22182714154634 38.72990158863277))"
Benton Park,4396,3608,677,788,,,,10410,"POLYGON ((-90.21261212143486 38.60830139712021, -90.21343948188147 38.60669359782687, -90.2137585279545 38.60596327495103, -90.21397359721288 38.60533932147368, -90.21460855861149 38.60288576270109, -90.21464944729648 38.60272247950745, -90.21564908391898 38.59882291568632, -90.21571579747763 38.59854274545187, -90.21583098466949 38.59802884919154, -90.21596321845801 38.59746856040546, -90.21613312468364 38.59675088348105, -90.21615512529745 38.5966463442141, -90.21616257250732 38.59660336094806, -90.21617974086344 38.59639309148799, -90.21618766831278 38.59622813498345, -90.21618531380814 38.59587527670742, -90.21617327196857 38.59567226802631, -90.21614140851592 38.59540264980632, -90.2160971055912 38.59517325679416, -90.2160196072126 38.59486162484099, -90.21594074483141 38.59460328810948, -90.21587465477873 38.5944246419006, -90.21579665916174 38.59423956870982, -90.2157157518823 38.59405652038134, -90.21559079170366 38.59380315137837, -90.21550937275943 38.59367021497371, -90.21544331128901 38.59356458299018, -90.21528133100114 38.59331224945596, -90.21517615095792 38.59314517794081, -90.21501709293233 38.59288870477411, -90.21483719443651 38.59259398463622, -90.21467529451377 38.59232242887097, -90.21454846296128 38.59210153855163, -90.21446392503366 38.59194434716252, -90.21435379539527 38.59170290284421, -90.21449754994904 38.59162590058463, -90.21492972133045 38.59139492240813, -90.21564544492826 38.59200236217482, -90.21583442180803 38.5920714695709, -90.22546344119313 38.5932927245632, -90.22427875852463 38.59892921089487, -90.22418724667541 38.59937065117577, -90.22299909185104 38.6049382423044, -90.22272451326241 38.60506025276224, -90.22080653625915 38.60603049783491, -90.22040983582279 38.60620207749319, -90.2201084393952 38.60631575244939, -90.21986146771212 38.60638218963695, -90.21920559603309 38.60652546551633, -90.21733806398068 38.60696992897233, -90.21636712700175 38.60728039595214, -90.21542084965509 38.60756524038327, -90.21467928886214 38.60777053262969, -90.21418180278418 38.6079091413023, -90.21255406040652 38.6083811061143, -90.21261212143486 38.60830139712021))"
Benton Park West,5202,4068,869,1134,,,,7589,"POLYGON ((-90.22546344119313 38.5932927245632, -90.23687008440687 38.59472748144831, -90.23724377252331 38.59292193416017, -90.2395295745568 38.59319845208846, -90.24065980799647 38.59333416744234, -90.24104713502798 38.59338170601166, -90.24141343670702 38.59343836827545, -90.24158968770278 38.59348337903919, -90.241806123868 38.59354289436617, -90.24191940153514 38.59357653480771, -90.24241018196119 38.59364651158077, -90.24126168811931 38.59468696722546, -90.24053880430941 38.59519451832315, -90.23753016556645 38.59722298703329, -90.23611574460325 38.59830401114471, -90.23473507109959 38.59932169079391, -90.23393087298875 38.59986880479017, -90.23338200825854 38.60020530545164, -90.23254220152081 38.60075282293393, -90.23207954487775 38.60103275597607, -90.23188467734279 38.60113506249687, -90.23073215384515 38.60162665676537, -90.22434335640969 38.6043528811592, -90.22299909185104 38.6049382423044, -90.22418724667541 38.59937065117577, -90.22427875852463 38.59892921089487, -90.22546344119313 38.5932927245632))"
Bevo Mill,13179,12904,92,275,,,,12379,"POLYGON ((-90.25971751640319 38.58995832177845, -90.259688239977 38.58981959173003, -90.25966878541153 38.58971520608369, -90.25964991430348 38.58960373710651, -90.25963309993017 38.58948403452948, -90.2596180844732 38.58935996959833, -90.259607394458 38.589239785322, -90.25960077415345 38.58912672138549, -90.25959735959651 38.58901756326572, -90.25959510188065 38.58890772103508, -90.25959285332702 38.58879513288124, -90.25959025859068 38.58869193512877, -90.25958789486259 38.58861389065935, -90.2595872254073 38.58855235276865, -90.25957712756343 38.58790840905551, -90.25957755470027 38.58751801958397, -90.25957354685619 38.5871461560757, -90.25956625376863 38.5865424734633, -90.25956398877045 38.58634042247066, -90.25955963986192 38.5860813614514, -90.25955492552914 38.58592140069062, -90.2595455809174 38.58583856390431, -90.25951751002626 38.58560120198006, -90.2594981117668 38.58548034069861, -90.25947404929138 38.5853523852974, -90.25944183729699 38.58521340191342, -90.25939980786985 38.58506000960231, -90.25934875519486 38.58489536781837, -90.25928866093273 38.58472499585427, -90.25922045441806 38.58455348133045, -90.25914723268183 38.58438580076075, -90.25906992407273 38.5842268163645, -90.25899344368413 38.58408181046393, -90.25887344742833 38.5838728717142, -90.25883375290796 38.58380644796787, -90.25846597524253 38.58324002547391, -90.25826817719583 38.58293756345167, -90.25805207191858 38.58260757635269, -90.25784790311772 38.58229686259367, -90.25769068720916 38.5820578598693, -90.25756827576642 38.58187225523383, -90.25737946914613 38.58158216701546, -90.25727680500769 38.5814231562651, -90.25716343534145 38.58124374831105, -90.25704629016658 38.58105334863188, -90.2569367367518 38.58086296459556, -90.25684149427742 38.58068219352536, -90.25676302530093 38.58051727386657, -90.25670054013541 38.58037410779158, -90.2566545835161 38.58025708997005, -90.25662252564815 38.58016799981817, -90.25658789741748 38.58006314259317, -90.25653922697387 38.57989004690166, -90.25651012462177 38.57978564049375, -90.25630790411861 38.57906828108765, -90.25620133604784 38.57868955818947, -90.25608580874528 38.57828132505575, -90.25597750471978 38.57789941299208, -90.25589454057911 38.57760679686623, -90.25583000177716 38.57737918816639, -90.25574391115934 38.57697719438761, -90.25571395975668 38.57678332306121, -90.25569772621938 38.57658786024511, -90.2556934335322 38.5763990400724, -90.25570102550886 38.57622309572432, -90.2557190580337 38.57606293488825, -90.25574666724717 38.57591539792029, -90.2557838709556 38.5757752126357, -90.25582892793804 38.57564006879906, -90.25587392824615 38.57552162017511, -90.25593713818307 38.57536616668916, -90.25650838847817 38.57426919754162, -90.25664833100095 38.57400244525152, -90.25703561410754 38.57326686918269, -90.25728731448127 38.57279072238138, -90.25839711358245 38.57068116470995, -90.25901771682736 38.57101720254182, -90.26418608670522 38.57374742508748, -90.26672521493768 38.57052374473735, -90.26679430293281 38.5704348587372, -90.26745651704147 38.56980963296947, -90.2677137556179 38.56994562884343, -90.26842163445656 38.5693539063609, -90.26858453424892 38.56918647846344, -90.26971184135935 38.56784823875521, -90.26976274575313 38.56778902636302, -90.26988359878351 38.56773091255754, -90.27732673897015 38.57163642825458, -90.2773911266061 38.57174067709607, -90.27539950263669 38.57394530135614, -90.27714743024806 38.57587475940633, -90.27710040318523 38.57590188219494, -90.27575557721146 38.57669492407123, -90.27576614711015 38.5788196473418, -90.27577025482449 38.57974874572947, -90.27583384456175 38.58030261474703, -90.27592886345916 38.58068311000214, -90.27601782678482 38.58094117937237, -90.27623716144942 38.58147293909023, -90.27640498913306 38.5818741950949, -90.27652583495707 38.58219685460973, -90.2765900015816 38.58255576210387, -90.27659974665531 38.58270749408516, -90.27663755956934 38.58329613175359, -90.27663128209855 38.58382062236734, -90.27658842762163 38.58391068988302, -90.27659768756524 38.58459170136816, -90.27660801981365 38.58474596068414, -90.27658616721948 38.58502416532574, -90.27661765139273 38.58520545761597, -90.27626513346623 38.58718279604467, -90.27623838303951 38.58725735213287, -90.27616222021058 38.58736979009285, -90.27330046367258 38.59149810284708, -90.27308805263741 38.59145397586433, -90.26978088312438 38.59108137366288, -90.26403627692756 38.59043509905595, -90.26193047865274 38.5902212095504, -90.26173148898887 38.59017387650982, -90.26161552870879 38.59014618098511, -90.25971751640319 38.58995832177845))"
Botanical Heights,3152,463,2586,2689,,,,5986,"POLYGON ((-90.2421410032896 38.62713743759375, -90.24338797493117 38.62340775710458, -90.24410905016884 38.62217345116085, -90.24427879124133 38.62186399969104, -90.24436005154053 38.62165136816702, -90.2444200798613 38.62133593773175, -90.24503749097272 38.61717119484768, -90.25599994156271 38.61818367763004, -90.25606466737095 38.61819114420346, -90.25886216187868 38.61843106032382, -90.25974517764375 38.61848870137398, -90.26003769352141 38.61850531036234, -90.25993820606718 38.6185939095422, -90.25842044911906 38.61986168260758, -90.25581548348879 38.6221697443786, -90.25397412663837 38.62376173561171, -90.25354904822905 38.62411918401737, -90.25279782207721 38.62474594883646, -90.25203092292925 38.62533585271553, -90.251240356031 38.62594376934416, -90.2475944397368 38.62824091500359, -90.24716324399496 38.62817064951238, -90.2421410032896 38.62713743759375))"
Boulevard Heights,9226,9116,17,110,,,,14255,"POLYGON ((-90.26976274575313 38.56778902636302, -90.26978931132442 38.56768451282493, -90.27299664773091 38.56389540498684, -90.26231424880815 38.55835332680781, -90.26376832700177 38.5570617995315, -90.265261428168 38.55577694985315, -90.26751386472252 38.55387731615742, -90.26810998798372 38.55336569101335, -90.27082963320123 38.55312668361886, -90.27155471294971 38.54869628890196, -90.27224664051178 38.54863999929267, -90.27270132936781 38.54860200014774, -90.27412657726123 38.54932875813805, -90.27798672000361 38.55055402954592, -90.28013472293333 38.55195443049533, -90.28090887840426 38.55237304775096, -90.28156493491427 38.55272828254819, -90.28401518753145 38.55405390879103, -90.28712708540746 38.55547770315841, -90.28971711688163 38.5570022984146, -90.29008150009277 38.5572715892459, -90.29241862204309 38.55903253672805, -90.29408772937136 38.56023274832328, -90.29692509179405 38.56232992971773, -90.29700383952418 38.56240901247153, -90.29651151240655 38.56273308642077, -90.29587530439025 38.5631415926847, -90.29417076606921 38.56431181653029, -90.28915569233808 38.56729735177762, -90.28654059983778 38.56887427999003, -90.28586806355024 38.56940620536832, -90.28379683351974 38.57134403167209, -90.28213201986907 38.57282880976527, -90.27966397127192 38.57435003096234, -90.27714743024806 38.57587475940633, -90.27539950263669 38.57394530135614, -90.2773911266061 38.57174067709607, -90.27732673897015 38.57163642825458, -90.26988359878351 38.56773091255754, -90.26976274575313 38.56778902636302))"
Carondelet,9417,8817,424,600,,,,11105,"POLYGON ((-90.24418469324999 38.56659709614576, -90.24209783328436 38.56553299233742, -90.24138662699974 38.5651298280881, -90.24013570435849 38.56448266570168, -90.2384563013515 38.56361323720248, -90.23981871217144 38.56187830576138, -90.25112775186625 38.54803873035603, -90.25188867913019 38.54852135496022, -90.25367198097793 38.54971162169812, -90.25464487725783 38.55033955081947, -90.25545973169321 38.5496161031073, -90.25928017999851 38.55215766092946, -90.25891483899473 38.55247911976022, -90.25913676303567 38.55261160216001, -90.26099591681715 38.55358223628708, -90.26299413099002 38.55181375590429, -90.26710107986318 38.54824264120883, -90.26780055670245 38.54756739870042, -90.26791845611585 38.54751521210062, -90.27031204514726 38.54574398266523, -90.27155277132458 38.54481187730286, -90.27178190321878 38.54578348814366, -90.27221542175141 38.54690883062514, -90.27223622583794 38.54696447679171, -90.27221450422891 38.54765410983292, -90.27221679282061 38.54767127653421, -90.27221678337827 38.54767426961197, -90.27227517959804 38.54818351159209, -90.27237491381221 38.54843564732383, -90.27270132936781 38.54860200014774, -90.27224664051178 38.54863999929267, -90.27155471294971 38.54869628890196, -90.27082963320123 38.55312668361886, -90.26810998798372 38.55336569101335, -90.26751386472252 38.55387731615742, -90.265261428168 38.55577694985315, -90.26376832700177 38.5570617995315, -90.26231424880815 38.55835332680781, -90.25933872393597 38.55679188411749, -90.25923835392254 38.55674060298001, -90.25907166741254 38.55698629761486, -90.25893287070845 38.55718440712034, -90.25876747512243 38.55740945438062, -90.25867847262853 38.55752482071598, -90.25858803824376 38.55763952499921, -90.25849498772652 38.55775213688774, -90.25840138804311 38.55786156225933, -90.25830776846003 38.55796640176892, -90.25821416093072 38.5580675616476, -90.25812147610189 38.558164631884, -90.25802876986084 38.55825758306958, -90.25793403891228 38.55834937669268, -90.25783289801322 38.55844412260831, -90.25772296059009 38.55854434213821, -90.25759932052445 38.55865301818858, -90.25746516251833 38.55876944336531, -90.25731962289835 38.55889043053481, -90.25716564547973 38.55901411851217, -90.25700404056023 38.55913872407582, -90.25683659859251 38.55926219144787, -90.25666514132938 38.55938356330628, -90.25649250750925 38.55950106066857, -90.25632017070348 38.55961328616083, -90.25615342099735 38.55971750485059, -90.25599775752592 38.55981122940671, -90.25585818762841 38.55989263052826, -90.25573905568361 38.55995943819697, -90.25563626245902 38.56001389560092, -90.25554636738173 38.56005994977173, -90.25546404255169 38.56010118680897, -90.25538550160327 38.56014037222964, -90.25531309308606 38.56017591829751, -90.25525298144098 38.56020509195894, -90.25544554926974 38.56030550201047, -90.25868969257685 38.56200330178647, -90.25910545299547 38.56222408140463, -90.25948694334829 38.56240244655218, -90.25958529016788 38.56244405752943, -90.25964733266552 38.56245472938683, -90.25183835990345 38.5715589157352, -90.24507186824125 38.56801687503239, -90.2453496418283 38.56718661032494, -90.24418469324999 38.56659709614576))"
Carr Square,3070,35,3012,3035,,,,4628,"POLYGON ((-90.19408275295933 38.64113903731676, -90.19456996418981 38.639714714981, -90.19463695332827 38.63946410563751, -90.19463898593702 38.63933162064843, -90.19443414755435 38.63857889786803, -90.19438078412369 38.6385064585854, -90.19439458625926 38.63834791814764, -90.19537723655351 38.63544939519317, -90.19541654141192 38.63533598140796, -90.2005930529053 38.63642373725258, -90.20253648584584 38.63683283830849, -90.21283590899593 38.63899755651845, -90.21279637234476 38.64128963821175, -90.21274215476632 38.64223294579438, -90.21274957309893 38.64387414076497, -90.21275136149806 38.64400501530793, -90.21278650122287 38.64463116941135, -90.21280394713459 38.6447955275756, -90.21283433020275 38.64507843101722, -90.20515912749178 38.64347255956591, -90.19408275295933 38.64113903731676))"
Central West End,16565,9791,6270,6774,,,,17504,"POLYGON ((-90.26350898021852 38.65158438301676, -90.26336886030408 38.65160035545782, -90.25757698266766 38.65109736276962, -90.25491825923497 38.6508662188897, -90.24552884625523 38.64674454877798, -90.24546703686504 38.64672725236273, -90.24540176352907 38.64670926189827, -90.23776914584381 38.64334433841727, -90.24085311361432 38.63892938202527, -90.24098625216655 38.63865895704314, -90.24231384601023 38.63472968118013, -90.24275060246032 38.63343001086556, -90.24301025743077 38.63268459785238, -90.24316768109819 38.6323133383615, -90.24656394430389 38.63167273495218, -90.24768759899383 38.63145433669114, -90.24843428486605 38.63131818176444, -90.24900554997558 38.63122170884392, -90.24917480971371 38.63120125775379, -90.24948534264445 38.63116488060437, -90.24966770496692 38.63115154132677, -90.24990722197644 38.63115158674006, -90.2500507332547 38.63115647909721, -90.25043868180695 38.6311760618601, -90.25080678094682 38.6311958481952, -90.25108444053468 38.63121038850802, -90.25139708946352 38.6312300550045, -90.25190456325565 38.63126682913722, -90.25226894171713 38.6312694135264, -90.25278066242531 38.63125220807167, -90.25319734946595 38.63122175683365, -90.25354553701762 38.63117833639645, -90.25375598381486 38.63114170958256, -90.25448840356299 38.63100663925386, -90.2545847278128 38.63099036581904, -90.2547846427675 38.63096217249416, -90.25508461473889 38.63094198672941, -90.2556167298154 38.63093851369563, -90.25582265469649 38.63094443547489, -90.25598130289698 38.63095553046688, -90.25620092657211 38.63097886182322, -90.2564278038877 38.63101044562803, -90.25670595152188 38.631056798829, -90.25699947802666 38.63112078465699, -90.2572822207911 38.63119578597613, -90.25747893676044 38.63125454469454, -90.25762637016895 38.6313008443615, -90.25779803656113 38.63135518463618, -90.25799267645174 38.63141737059232, -90.25821242694833 38.63148693972522, -90.25844525974635 38.63155972072192, -90.25867928628921 38.63163159756358, -90.25889929391769 38.63169795320967, -90.25909601865629 38.63175489691837, -90.2592720822222 38.63180353256941, -90.25958219270618 38.63188242892095, -90.25986700758916 38.6319466367842, -90.26012851443697 38.63199843953231, -90.26024921640669 38.6320204346144, -90.26051101838398 38.63206787110008, -90.26056175658668 38.63207462007122, -90.26069385822407 38.63208999289773, -90.26088370416453 38.63211075576867, -90.26111617449895 38.63212539958897, -90.26127745624346 38.63213511981843, -90.26167248438637 38.6321336460388, -90.26195139823112 38.63212001744529, -90.26225109986012 38.63209775332398, -90.2625464138706 38.63206836759794, -90.26285052238771 38.63202595583333, -90.26305077010706 38.63199228468289, -90.26325745111501 38.63195036098825, -90.26348314178605 38.63189749167828, -90.26373831654932 38.63183141868078, -90.26398334476761 38.63176351235084, -90.26419447393916 38.63169916180473, -90.26444386185055 38.63161454064146, -90.26460918018581 38.63155652255784, -90.26497515366911 38.63142501476738, -90.2652447141889 38.63132645567713, -90.26540216141871 38.63126636123535, -90.26604460935621 38.6323218887044, -90.26621096029119 38.63265744309893, -90.26641009403338 38.63315051371417, -90.2664416270098 38.63330437560804, -90.26651922033814 38.63393631155744, -90.26651902591723 38.63426606857411, -90.26646008741149 38.63472520585199, -90.26640541045241 38.63512232127444, -90.26564263594658 38.63972462830954, -90.26518674642919 38.64245318175409, -90.26482819164646 38.64395079729716, -90.26502201205204 38.64400816447424, -90.26518030808501 38.64405060463542, -90.26537685798698 38.64408713521418, -90.26583182388582 38.64415032410236, -90.26723545385637 38.64428492910135, -90.27465420712035 38.64502396391376, -90.27336866448594 38.65267647999042, -90.27326080099257 38.65264631309034, -90.27290155948204 38.65255706062552, -90.27261429756719 38.65250636227982, -90.27214582248226 38.65244435422322, -90.2706624478145 38.65229317636759, -90.26362051596652 38.65157156536831, -90.26350898021852 38.65158438301676))"
