neighborhoods,2010 population,2010 income per capita,2010 white,2010 black,2000 population,2000 income per capita,2000 white,2000 black,1990 population,1990 income per capita,1990 white,1990 black
Academy,2816,,54,2700,3797,,26,3703,5169,7359,22,5129
Baden,7268,,461,6676,8441,,1025,7280,7156,9869,2983,4123
Benton Park,3532,,2408,888,3946,,2203,1564,4396,10410,3608,677
Benton Park West,4404,,1234,2626,5428,,1650,3208,5202,7589,4068,869
Bevo Mill,12654,,9395,1746,13286,,11064,1161,13179,12379,12904,92
Botanical Heights,1037,,211,772,1818,,124,1625,3152,5986,463,2586
Boulevard Heights,8708,,7798,312,8969,,8486,123,9226,14255,9116,17
Carondelet,8661,,4967,2924,8930,,6455,1780,9417,11105,8817,424
Carr Square,2774,,14,2719,2339,,19,2285,3070,4628,35,3012
Central West End,14471,,8395,4054,14144,,7850,5154,16565,17504,9791,6270
Cheltenham,620,,417,93,480,,384,67,491,12298,460,24
Clayton-Tamm,2251,,2004,136,2476,,2250,131,3226,12897,3006,150
Clifton Heights,3074,,2770,120,3488,,3267,114,4130,13750,4085,8
College Hill,1871,,69,1735,2956,,118,2775,5439,6248,412,4991
Columbus Square,1869,,76,1737,1949,,120,1796,2047,9563,136,1896
Compton Heights,1315,,933,280,1448,,957,429,1868,15479,1290,539
Covenant Blu-Grand Center,3562,,1248,2007,2758,,522,2143,4175,5466,1026,3042
DeBaliviere Place,3466,,2046,1020,3436,,2038,1039,3271,10598,1935,1247
Downtown,3721,,1991,1382,806,,518,227,1152,19886,763,372
Downtown West,3940,,2219,1455,2204,,979,1092,2535,10213,1487,997
Dutchtown,15770,,5600,8016,17222,,8646,6847,17943,10943,16218,1297
Ellendale,1575,,1269,188,1656,,1410,171,1701,14810,1614,52
Fairground Neighborhood,1793,,30,1741,2472,,22,2421,3026,5117,87,2925
Forest Park South East,2918,,879,1876,3704,,680,2852,4087,7686,1320,2693
Fountain Park,1484,,17,1445,1804,,8,1785,2333,11439,15,2313
Fox Park,2632,,849,1612,3175,,970,2036,5092,6400,2724,2112
Franz Park,2442,,2104,193,2621,,2220,290,2681,13552,2487,144
Gravois Park,5225,,1172,3573,5826,,1793,3472,5183,9662,4202,688
Greater Ville,6189,,46,6029,8189,,42,8075,12483,6889,89,12370
Hamilton Heights,3105,,30,3023,3833,,25,3765,5505,7000,34,5460
Hi-Pointe,2196,,1867,152,2454,,2116,162,2631,13587,2419,138
Holly Hills,3701,,3006,424,3705,,3399,171,3213,15017,3174,22
Hyde Park,2668,,363,2262,3741,,689,2985,4917,6710,1553,3331
